Country Name,Continent,Image URL,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,Asia,https://flagcdn.com/w80/af.png,AFG,9035048.0,9214082.0,9404411.0,9604491.0,9814318.0,10036003.0,10266397.0,10505961.0,10756924.0,11017417.0,11290135.0,11567672.0,11853697.0,12158000.0,12469127.0,12773967.0,13059861.0,13340758.0,13611445.0,13655572.0,13169312.0,11937587.0,10991382.0,10917986.0,11190220.0,11426855.0,11420074.0,11387824.0,11523299.0,11874088.0,12045664.0,12238879.0,13278982.0,14943174.0,16250799.0,17065836.0,17763265.0,18452100.0,19159996.0,19887791.0,20130334.0,20284303.0,21378123.0,22733054.0,23560656.0,24404574.0,25424100.0,25909852.0,26482629.0,27466101.0,28284088.0,29347709.0,30560036.0,31622708.0,32792527.0,33831765.0,34700614.0,35688942.0,36743040.0,37856126.0,39068978.0,40000411.0
Albania,Europe,https://flagcdn.com/w80/al.png,ALB,1649393.0,1698800.0,1743738.0,1791289.0,1841445.0,1894318.0,1950047.0,2008523.0,2068849.0,2126885.0,2181227.0,2234994.0,2289267.0,2344108.0,2399398.0,2454864.0,2510582.0,2566601.0,2624621.0,2681391.0,2735423.0,2790413.0,2846910.0,2905129.0,2964961.0,3026245.0,3087659.0,3148843.0,3212924.0,3260370.0,3277964.0,3282607.0,3282506.0,3277830.0,3269417.0,3258571.0,3245681.0,3229665.0,3210133.0,3188596.0,3166147.0,3147941.0,3134094.0,3118092.0,3098663.0,3076155.0,3050804.0,3022887.0,2992933.0,2961487.0,2928730.0,2911500.0,2910003.0,2907570.0,2903748.0,2898634.0,2897868.0,2898247.0,2894231.0,2885012.0,2871951.0,2849643.0
Algeria,Africa,https://flagcdn.com/w80/dz.png,DZA,11424930.0,11628876.0,11800768.0,11982120.0,12179807.0,12365980.0,12590068.0,12876116.0,13172615.0,13475958.0,13783725.0,14098938.0,14427076.0,14771151.0,15133507.0,15678601.0,16409170.0,17015987.0,17506978.0,18036655.0,18607175.0,19220708.0,19872354.0,20558121.0,21271969.0,22008541.0,22745500.0,23443628.0,24109537.0,24754488.0,25375816.0,25987937.0,26628568.0,27277040.0,27887276.0,28470194.0,29033045.0,29579300.0,30054135.0,30474359.0,30903895.0,31331226.0,31750833.0,32175813.0,32628286.0,33109258.0,33623505.0,34189420.0,34816962.0,35490443.0,36188236.0,36903375.0,37646164.0,38414176.0,39205035.0,40019528.0,40850720.0,41689304.0,42505033.0,43294550.0,44042093.0,44761101.0
American Samoa,Oceania,https://flagcdn.com/w80/as.png,ASM,20158.0,20686.0,21317.0,21991.0,22692.0,23429.0,24157.0,24890.0,25629.0,26393.0,27051.0,27555.0,28019.0,28465.0,28894.0,29406.0,29979.0,30543.0,31098.0,31632.0,32427.0,33606.0,34937.0,36291.0,37689.0,39126.0,40588.0,42095.0,43634.0,45207.0,46659.0,47904.0,49055.0,50178.0,51273.0,52337.0,53378.0,54385.0,55354.0,56265.0,56877.0,57072.0,57080.0,56988.0,56841.0,56637.0,56390.0,56133.0,55848.0,55541.0,55245.0,54917.0,54505.0,54026.0,53490.0,52895.0,52261.0,51606.0,50928.0,50230.0,49779.0,49248.0
Andorra,Europe,https://flagcdn.com/w80/ad.png,AND,9532.0,10307.0,11107.0,11936.0,12786.0,13655.0,14649.0,15860.0,17200.0,18580.0,19998.0,21466.0,22977.0,24542.0,26153.0,27799.0,29457.0,31125.0,32757.0,34326.0,35802.0,37194.0,38785.0,40586.0,42291.0,43847.0,45758.0,47676.0,49439.0,50638.0,52616.0,56692.0,60216.0,63293.0,64630.0,63935.0,64008.0,64721.0,65399.0,65732.0,65703.0,65874.0,66528.0,69507.0,74342.0,77436.0,79609.0,81900.0,83513.0,83908.0,80726.0,77801.0,76858.0,75220.0,73755.0,72194.0,72197.0,73781.0,75182.0,76491.0,77398.0,78375.0
Angola,Africa,https://flagcdn.com/w80/ao.png,AGO,5231664.0,5301584.0,5354314.0,5408335.0,5464187.0,5521983.0,5581392.0,5641809.0,5702705.0,5763693.0,5852791.0,5991114.0,6174269.0,6388534.0,6613370.0,6842951.0,7074668.0,7317836.0,7576742.0,7847208.0,8133868.0,8435604.0,8751653.0,9082985.0,9425922.0,9779125.0,10139458.0,10497864.0,10861301.0,11238562.0,11626359.0,12023533.0,12423717.0,12827135.0,13249762.0,13699780.0,14170973.0,14660420.0,15159377.0,15667234.0,16194872.0,16747204.0,17327701.0,17943717.0,18600426.0,19291161.0,20015280.0,20778569.0,21578655.0,22414774.0,23294821.0,24218358.0,25177399.0,26165616.0,27160766.0,28157801.0,29183072.0,30234837.0,31297160.0,32375632.0,33451140.0,34532427.0
Antigua and Barbuda,Americas,https://flagcdn.com/w80/ag.png,ATG,55621.0,56553.0,57350.0,58157.0,59034.0,59986.0,60909.0,61857.0,62831.0,63832.0,64549.0,64748.0,64631.0,64361.0,64074.0,63854.0,63778.0,63882.0,64055.0,64297.0,64529.0,64684.0,64800.0,64952.0,64898.0,64606.0,64293.0,63964.0,63641.0,63346.0,63087.0,63406.0,64421.0,65600.0,66860.0,68209.0,69628.0,71071.0,72429.0,73681.0,74929.0,76082.0,77049.0,77895.0,78734.0,79628.0,80619.0,81716.0,82926.0,84192.0,85337.0,86349.0,87275.0,88074.0,88783.0,89422.0,89981.0,90483.0,90942.0,91377.0,91864.0,92358.0
Argentina,Americas,https://flagcdn.com/w80/ar.png,ARG,20386054.0,20726278.0,21072543.0,21421703.0,21769451.0,22112635.0,22453898.0,22799062.0,23150579.0,23508715.0,23878331.0,24257211.0,24644332.0,25046008.0,25461353.0,25874106.0,26282282.0,26701814.0,27132164.0,27568894.0,28011596.0,28463957.0,28924269.0,29391333.0,29863091.0,30336448.0,30811983.0,31291764.0,31780533.0,32270958.0,32755907.0,33230292.0,33693532.0,34152718.0,34613491.0,35070016.0,35513794.0,35947790.0,36372863.0,36794686.0,37213985.0,37624818.0,38029346.0,38424284.0,38815915.0,39216787.0,39622113.0,40016766.0,40424149.0,40854832.0,41288694.0,41730655.0,42161718.0,42582454.0,43024072.0,43477009.0,43900312.0,44288898.0,44654876.0,44973468.0,45191960.0,45312283.0
Armenia,Asia,https://flagcdn.com/w80/am.png,ARM,1863710.0,1927489.0,1991686.0,2056024.0,2120136.0,2183637.0,2246162.0,2307494.0,2367325.0,2424036.0,2475629.0,2525349.0,2577082.0,2630860.0,2686446.0,2743665.0,2818168.0,2912833.0,3012808.0,3078506.0,3107420.0,3135355.0,3163145.0,3191547.0,3224549.0,3260440.0,3294858.0,3328525.0,3355124.0,3443095.0,3552129.0,3613977.0,3571869.0,3453338.0,3364620.0,3307585.0,3278738.0,3246292.0,3208400.0,3167282.0,3125630.0,3084350.0,3055635.0,3038976.0,3022544.0,3006360.0,2990371.0,2974825.0,2959996.0,2945518.0,2931083.0,2923267.0,2922528.0,2922528.0,2922433.0,2921179.0,2918795.0,2914967.0,2909970.0,2903975.0,2890894.0,2870339.0
Aruba,Americas,https://flagcdn.com/w80/aw.png,ABW,54938.0,55596.0,56335.0,57018.0,57637.0,58208.0,58707.0,59011.0,59086.0,59068.0,58967.0,58798.0,58912.0,59456.0,60144.0,60825.0,61292.0,61532.0,61733.0,61913.0,62050.0,62279.0,62675.0,63114.0,63483.0,63673.0,63641.0,63420.0,63219.0,63413.0,64452.0,66564.0,68889.0,71090.0,73476.0,75931.0,78495.0,81121.0,83787.0,86482.0,88772.0,90320.0,91392.0,92324.0,93223.0,94238.0,95403.0,96604.0,97815.0,99040.0,100127.0,100994.0,101774.0,102570.0,103381.0,104200.0,104989.0,105736.0,106447.0,107089.0,107411.0,107565.0
